Rowno,Word,Count,Row,Root,Percent observed agreement,Aggreement Percent (Complex),Aggreement Percent (Simple)
1,विपणन,39,"1a,3a,4a,5a,7a,10a,12a,14a,15a,16a,17a,19a,20a,21a,22a,24a,25a,26a,27a,28a,29a,30a,31a,32a,33a,34a,36a,37a,38a,39a,41a,45a,46a,48a,49a,51a,52a,54a,55a",विपणन,0.6683673469,82.9787234043,17.0212765957
41,महाभिनिष्क्रमण,34,"3a,4a,5a,7a,9a,10a,13a,17a,19a,20a,21a,22a,24a,27a,28a,30a,32a,33a,34a,35a,36a,37a,38a,39a,40a,41a,42a,44a,45a,46a,49a,52a,54a,55a,,,,,",,0.5663265306,72.3404255319,27.6595744681
33,विक्रय,28,"3a,5a,7a,9a,12a,13a,14a,15a,18a,20a,21a,22a,26a,28a,31a,34a,36a,37a,38a,40a,41a,44a,45a,46a,52a,53a,54a,55a,,,,,,,,,,,",विक्रय,0.5,59.5744680851,40.4255319149
38,दार्शनिक,27,"3a,5a,12a,15a,22a,24a,27a,28a,41a,42a,46a,48a,51a,52a,53a,54a,55a,4a,13a,14a,17a,21a,26a,33a,43a,44a,49a,,,,,,,,,,,,",दार्शनिक,0.4948979592,57.4468085106,42.5531914894
45,वल्लरियों,27,"3a,4a,5a,7a,12a,14a,15a,17a,19a,20a,21a,22a,26a,27a,28a,30a,32a,35a,37a,38a,42a,43a,44a,49a,52a,54a,55a,,,,,,,,,,,,",वल्लरि,0.4948979592,57.4468085106,42.5531914894
36,अद्वितीय,26,"3a,13a,14a,15a,20a,21a,22a,24a,26a,28a,30a,31a,32a,35a,36a,37a,38a,40a,42a,43a,45a,46a,49a,,51a,53a,54a,,,,,,,,,,,,",अद्वितीय,0.4948979592,55.3191489362,44.6808510638
24,प्रशिक्षार्थियों,26,"2a,3a,,12a,13a,14a,16a,19a,21a,24a,26a,28a,31a,34a,35a,36a,37a,40a,41a,42a,43a,46a,49a,51a,53a,54a,55a,,,,,,,,,,,,",,0.4914965986,55.3191489362,44.6808510638
6,उन्मुक्त,25,"1a,3a,4a,5a,7a,10a,14a,15a,19a,27a,28a,30a,32a,33a,35a,36a,37a,42a,43a,44a,46a,49a,51a,52a,54a,,,,,,,,,,,,,,",उन्मुक्त,0.4897959184,53.1914893617,46.8085106383
20,सत्ताच्युत,22,"1a,3a,4a,5a,7a,10a,13a,15a,18a,19a,22a,28a,30a,32a,33a,37a,42a,43a,44a,49a,52a,55a,,,,,,,,,,,,,,,,,",,0.4948979592,46.8085106383,53.1914893617
56,बिलखने,22,"4a,7a,13a,17a,19a,20a,21a,22a,26a,30a,33a,37a,38a,39a,40a,41a,42a,43a,44a,46a,49a,54a,,,,,,,,,,,,,,,,,",,0.4948979592,46.8085106383,53.1914893617
60,तरतीबी,22,"4a,5a,10a,14a,16a,17a,21a,22a,24a,28a,30a,34a,37a,38a,40a,42a,43a,44a,46a,49a,51a,52a,,,,,,,,,,,,,,,,,",तरतीब,0.4948979592,46.8085106383,53.1914893617
44,भभूत,21,"3a,4a,12a,14a,17a,19a,21a,22a,24a,25a,28a,31a,32a,33a,40a,41a,42a,43a,44a,51a,53a,,,,,,,,,,,,,,,,,,",भभूत,0.5,44.6808510638,55.3191489362
62,वैकल्पिक,21,"5a,12a,13a,14a,15a,17a,18a,21a,22a,26a,27a,28a,32a,35a,37a,40a,48a,49a,52a,54a,55a,,,,,,,,,,,,,,,,,,",वैकल्पिक,0.5,44.6808510638,55.3191489362
14,सिटकनी,20,"1a,4a,5a,12a,15a,17a,18a,19a,20a,25a,28a,31a,32a,37a,39a,40a,42a,49a,51a,54a,,,,,,,,,,,,,,,,,,,",सिटकनी,0.5068027211,42.5531914894,57.4468085106
18,पसोपेश,20,",1a,3a,5a,12a,15a,17a,18a,21a,24a,26a,28a,30a,32a,33a,42a,44a,49a,52a,53a,51a,,,,,,,,,,,,,,,,,,",पसोपेश,0.5068027211,42.5531914894,57.4468085106
32,स्वच्छन्द,20,"2a,3a,15a,20a,21a,22a,26a,30a,32a,33a,37a,38a,42a,44a,46a,49a,51a,52a,53a,55a,,,,,,,,,,,,,,,,,,,",स्वच्छन्द,0.5068027211,42.5531914894,57.4468085106
21,बिसाती,18,"1a,3a,15a,17a,18a,21a,22a,26a,27a,28a,30a,32a,33a,38a,40a,42a,49a,52a,,,,,,,,,,,,,,,,,,,,,",बिसाती,0.5255102041,38.2978723404,61.7021276596
63,हहराता,18,"5a,10a,12a,14a,15a,19a,20a,22a,27a,28a,30a,32a,33a,36a,37a,38a,44a,49a,,,,,,,,,,,,,,,,,,,,,",,0.5255102041,38.2978723404,61.7021276596
65,बंधुआ,17,"5a,13a,14a,17a,20a,26a,27a,28a,32a,33a,36a,37a,38a,39a,42a,44a,55a,,,,,,,,,,,,,,,,,,,,,,",बंधुआ,0.537414966,36.170212766,63.829787234
22,दुष्कर,16,"2a,3a,5a,12a,15a,22a,26a,28a,31a,34a,35a,41a,43a,44a,,51a,55a,,,,,,,,,,,,,,,,,,,,,,",दुष्कर,0.537414966,34.0425531915,65.9574468085
52,आकलन,16,"4a,12a,14a,19a,2a,24a,26a,28a,34a,37a,38a,41a,42a,43a,45a,52a,,,,,,,,,,,,,,,,,,,,,,,",आकलन,0.5510204082,34.0425531915,65.9574468085
53,समानान्तर,16,"4a,5a,13a,15a,19a,22a,24a,26a,28a,30a,33a,35a,44a,49a,53a,54a,,,,,,,,,,,,,,,,,,,,,,,",समानान्तर,0.5510204082,34.0425531915,65.9574468085
82,किलोल,16,"7a,17a,19a,22a,25a,30a,33a,34a,37a,38a,39a,40a,44a,49a,52a,54a,,,,,,,,,,,,,,,,,,,,,,,",किलोल,0.5510204082,34.0425531915,65.9574468085
4,कसाव,15,"1a,5a,7a,12a,16a,19a,20a,30a,38a,41a,42a,43a,44a,52a,55a,,,,,,,,,,,,,,,,,,,,,,,,",कसाव,0.5663265306,31.914893617,68.085106383
137,भौंचक्का,13,"15a,27a,28a,33a,43a,,53a,55a,12a,14a,16a,44a,1a,35a,,,,,,,,,,,,,,,,,,,,,,,,,",भौंचक्का,0.5833333333,27.6595744681,72.3404255319
30,अनियमितता,13,"2a,13a,14a,19a,24a,27a,30a,35a,37a,40a,42a,46a,49a,,,,,,,,,,,,,,,,,,,,,,,,,,",अनियमितता,0.6020408163,27.6595744681,72.3404255319
40,बाधाहीन,13,"3a,12a,13a,19a,21a,22a,28a,34a,36a,37a,39a,43a,44a,,,,,,,,,,,,,,,,,,,,,,,,,,",बाधाहीन,0.6020408163,27.6595744681,72.3404255319
13,अंधड़,12,"1a,7a,17a,19a,21a,30a,33a,34a,36a,37a,44a,52a,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.6224489796,25.5319148936,74.4680851064
