word,root,
विपणन,विपणन,3
महाभिनिष्क्रमण,,3
विक्रय,विक्रय,3
दार्शनिक,दार्शनिक,2
वल्लरियों,वल्लरि,3
अद्वितीय,अद्वितीय,3
प्रशिक्षार्थियों,,3
उन्मुक्त,उन्मुक्त,3
सत्ताच्युत,,2
बिलखने,,2
तरतीबी,तरतीब,2
भभूत,भभूत,2
वैकल्पिक,वैकल्पिक,3
सिटकनी,सिटकनी,2
पसोपेश,पसोपेश,2
स्वच्छन्द,स्वच्छन्द,2
अनियमितता,अनियमितता,3
समानान्तर,समानान्तर,3
वर्चस्व,वर्चस्व,3
पद्मिनी,पद्मिनी,3
ब्यौंड़े,,3
किलोल,किलोल,
अनुशासनात्मक,अनुशासनात्मक,
हहराता,,
बिसाती,बिसाती,
आकलन,आकलन,
भौंचक्का,भौंचक्का,
फौजदारी,फौजदारी,
विश्वासपात्र,विश्वासपात्र,
बंधुआ,बंधुआ,
प्रतिध्वनित,प्रतिध्वनित,
सुकुमार,सुकुमार,
सर्वोत्कृष्ट,सर्वोत्कृष्ट,
नितान्त,नितान्त,
दुष्कर,दुष्कर,
कसाव,कसाव,
एहतियात,एहतियात,
अंधड़,,
किवाड़,किवाड़,
उत्पादन,उत्पादन,
बाधाहीन,बाधाहीन,
व्यस्तताएँ,व्यस्तता,
नाममात्र,नाममात्र,
विघटन,विघटन,
काकली,,
टिकोरे,टिकोरा,
मूसलाधार,मूसलाधार,
व्याकुल,व्याकुल,
स्मृतियाँ,स्मृति,
मातृत्व,मातृत्व,
जलाश्य,,
तुनक,तुनक,
उपभोक्ता,उपभोक्ता,
अनुभूति,अनुभूति,
खूँखार,खूँखार,
जग्गन,,
कौड़ियों,,
विचरण,विचरण,
लतरों,,
गिलट,गिलट,
संयोजन,संयोजन,
मुग्ध,मुग्ध,
चितेरे,चितेरा,
दूभर,दूभर,
इठलाने,,
माफिक,माफिक,
तरकारी,तरकारी,
उत्पाद,उत्पाद,
चायखाने,,
अनुयायी,,
गतिविधियों,,
कुंभलगढ़,कुंभलगढ़,
अंकलेश्वर,,
संगठन,संगठन,
पूंजी,पूंजी,
छिटक,,
गेसू,,
उपन्यासों,उपन्यास,
ऐंठने,ऐंठ,
विकल्प,विकल्प,
फुहारे,फुहारा,
प्रचार-प्रसार,प्रचार-प्रसार,
खुलाव,,
चारपाइयों,चारपाई,
सार्वजनिक,सार्वजनिक,
संचालित,संचालित,
अनुपम,अनुपम,
अभिन्न,अभिन्न,
ऋतु,ऋतु,
अद्भुत,अद्भुत,
विज्ञापन,विज्ञापन,
मुरझाए,,
बेधड़क,बेधड़क,
बाल-स्मृतियाँ,,
केन्द्रीय,केन्द्रीय,
गठन,गठन,
बारजे,बारजा,
सहसा,सहसा,
मँडराते,मँडरा,
द्वीप,द्वीप,
वरिष्ठ,वरिष्ठ,
भूमिका,भूमिका,
अभियान,अभियान,
उपलब्धि,उपलब्धि,
सन्नाटा,सन्नाटा,
सून,,
तेन्दुए,,
भुगतान,भुगतान,
बँधे-बँधाये,,
इक्नॉमिक्स,,
सिलसिला,सिलसिला,
भरूच,,
इर्द-गिर्द,इर्द-गिर्द,
ढेले,ढेला,
कंठ,कंठ,
बांधकर,बाँध,
मालिन,मालिन,
प्रथा,प्रथा,
दर्जों,दर्जा,
इंजीनियरिंग,इंजीनियरिंग,
तालमेल,तालमेल,
फैक्टरियाँ,फैक्टरी,
सौन्दर्य,सौन्दर्य,
कलकत्ता,कलकत्ता,
घानी,घानी,
मार्केटिंग,मार्केटिंग,
कार्यवाही,कार्यवाही,
घसीटना,घसीटना,
मदनजी,,
माजरा,माजरा,
निर्माण,निर्माण,
बुद्धि,बुद्धि,
विविध,विविध,
रोशनी,रोशनी,
जकड़,जकड़,
हजीरा,,
वार्ता,वार्ता,
प्रकृति,प्रकृति,
नौबत,नौबत,
सुस्ता,सुस्ता,
राजकुमार,राजकुमार,
एकान्त,एकान्त,
वजीर,वजीर,
बुढ़िया,बुढ़िया,
ओलों,ओला,
घेर-घुमेर,,
मंत्रियों,मंत्री,
कार्यालय,कार्यालय,
बजाय,बजाय,
