Word,Root
विपणन,विपणन
महाभिनिष्क्रमण,
विक्रय,विक्रय
वल्लरियों,वल्लरि
अद्वितीय,अद्वितीय
उन्मुक्त,उन्मुक्त
वैकल्पिक,वैकल्पिक
दार्शनिक,दार्शनिक
तरतीबी,तरतीब
अनियमितता,अनियमितता
समानान्तर,समानान्तर
वर्चस्व,वर्चस्व
सत्ताच्युत,
स्वच्छन्द,स्वच्छन्द
पद्मिनी,पद्मिनी
भभूत,भभूत
ब्यौंड़े,
बिलखने,बिलखना
पसोपेश,पसोपेश
सिटकनी,सिटकनी
किलोल,किलोल
अनुशासनात्मक,अनुशासनात्मक
हहराता,
बिसाती,बिसाती
आकलन,आकलन
प्रशिक्षार्थियों,
भौंचक्का,भौंचक्का
फौजदारी,फौजदारी
विश्वासपात्र,विश्वासपात्र
बंधुआ,बंधुआ
प्रतिध्वनित,प्रतिध्वनित
सुकुमार,सुकुमार
सर्वोत्कृष्ट,सर्वोत्कृष्ट
नितान्त,नितान्त
दुष्कर,दुष्कर
कसाव,कसाव
एहतियात,एहतियात
अंधड़,
किवाड़,किवाड़
उत्पादन,उत्पादन
बाधाहीन,बाधाहीन
व्यस्तताएँ,व्यस्तता
नाममात्र,नाममात्र
विघटन,विघटन
काकली,
टिकोरे,टिकोरा
मूसलाधार,मूसलाधार
व्याकुल,व्याकुल
स्मृतियाँ,स्मृति
मातृत्व,मातृत्व
जलाश्य,
तुनक,तुनक
उपभोक्ता,उपभोक्ता
अनुभूति,अनुभूति
खूँखार,खूँखार
जग्गन,
कौड़ियों,
विचरण,विचरण
लतरों,
गिलट,गिलट
संयोजन,संयोजन
मुग्ध,मुग्ध
चितेरे,चितेरा
दूभर,दूभर
इठलाने,इठलाना
माफिक,माफिक
तरकारी,तरकारी
उत्पाद,उत्पाद
चायखाने,
अनुयायी,अनुयायी
गतिविधियों,
कुंभलगढ़,कुंभलगढ़
संगठन,संगठन
पूंजी,पूंजी
छिटक,छिटकना
गेसू,
उपन्यासों,उपन्यास
ऐंठने,ऐंठ
विकल्प,विकल्प
फुहारे,फुहारा
खुलाव,
चारपाइयों,चारपाई
सार्वजनिक,सार्वजनिक
संचालित,संचालित
अनुपम,अनुपम
अभिन्न,अभिन्न
ऋतु,ऋतु
अद्भुत,अद्भुत
विज्ञापन,विज्ञापन
मुरझाए,मुरझाना
बेधड़क,बेधड़क
केन्द्रीय,केन्द्रीय
गठन,गठन
बारजे,बारजा
सहसा,सहसा
मँडराते,मँडरा
द्वीप,द्वीप
वरिष्ठ,वरिष्ठ
भूमिका,भूमिका
अभियान,अभियान
उपलब्धि,उपलब्धि
सन्नाटा,सन्नाटा
सून,
तेन्दुए,
भुगतान,भुगतान
सिलसिला,सिलसिला
ढेले,ढेला
कंठ,कंठ
बांधकर,बाँध
मालिन,मालिन
प्रथा,प्रथा
दर्जों,दर्जा
तालमेल,तालमेल
सौन्दर्य,सौन्दर्य
घानी,घानी
मार्केटिंग,मार्केटिंग
कार्यवाही,कार्यवाही
घसीटना,घसीटना
मदनजी,
माजरा,माजरा
निर्माण,निर्माण
बुद्धि,बुद्धि
