Rowno,Word,Count,Row,Root,Percent observed agreement,Agreement percentage (Complex),Agreement percentage (Simple)
1,विपणन,39,"1,2,7,11,12,13,14,15,16,17,19,20,21,22,23,24,25,27,,29,30,31,,33,34,35,38,39,40,41,42,43,44,46,47,48,49,52,53,54,55,,,,,",विपणन,0.5384615385,76.4705882353,23.5294117647
40,महाभिनिष्क्रमण,33,"4,5,7,8,11,12,15,17,18,19,20,21,24,25,26,27,29,30,33,34,36,39,40,41,43,44,47,48,50,52,53,54,55,,,,,,,,,,,,,",,0.5271493213,64.7058823529,35.2941176471
3,विक्रय,31,"2,3,4,8,11,13,14,15,16,17,18,19,21,22,23,24,25,,29,30,31,,34,35,40,41,42,43,44,49,50,,52,53,,,,,,,,,,,,",विक्रय,0.5173453997,60.7843137255,39.2156862745
19,वल्लरियों,31,"3,7,11,12,14,15,16,17,18,19,21,24,25,26,27,,31,33,34,36,38,39,40,41,45,46,47,49,52,53,54,55,,,,,,,,,,,,,,",वल्लरि,0.5090497738,60.7843137255,39.2156862745
7,वैकल्पिक,27,"3,4,7,11,12,15,17,20,24,25,26,27,29,31,,33,34,35,39,40,45,46,47,50,,52,53,54,55,,,,,,,,,,,,,,,,,",वैकल्पिक,0.4932126697,52.9411764706,47.0588235294
13,अनियमितता,28,"3,5,6,7,11,12,14,15,17,20,24,27,,29,30,38,39,40,41,43,44,45,46,47,48,50,52,53,55,,,,,,,,,,,,,,,,,",अनियमितता,0.4932126697,54.9019607843,45.0980392157
33,अद्वितीय,28,"4,7,11,12,17,19,24,25,26,27,,30,31,,33,35,36,38,39,40,43,45,46,47,48,50,52,53,54,55,,,,,,,,,,,,,,,,",अद्वितीय,0.4932126697,54.9019607843,45.0980392157
5,वर्चस्व,27,"2,3,4,7,8,11,12,14,15,18,19,21,23,24,,29,31,,38,39,41,42,43,44,45,49,50,52,53,,,,,,,,,,,,,,,,,",वर्चस्व,0.4909502262,52.9411764706,47.0588235294
14,उन्मुक्त,27,"3,7,10,11,12,13,14,15,17,19,20,21,26,27,30,34,35,38,39,40,41,43,45,49,50,53,54,,,,,,,,,,,,,,,,,,,",उन्मुक्त,0.4909502262,52.9411764706,47.0588235294
20,पद्मिनी,26,"3,4,5,7,14,16,18,20,22,23,25,27,,30,33,35,36,41,42,45,47,48,50,52,53,54,55,,,,,,,,,,,,,,,,,,,",पद्मिनी,0.4901960784,50.9803921569,49.0196078431
23,ब्यौंड़े,25,"3,4,5,7,11,12,15,18,19,21,24,25,26,,29,33,38,39,41,45,46,47,48,49,52,55,,,,,,,,,,,,,,,,,,,,",,0.4909502262,49.0196078431,50.9803921569
52,समानान्तर,23,"5,7,11,12,16,17,18,24,25,26,27,,29,31,,38,39,40,41,46,48,50,53,54,55,,,,,,,,,,,,,,,,,,,,,",समानान्तर,0.4969834087,45.0980392157,54.9019607843
51,प्रशिक्षार्थियो,22,"5,7,13,16,19,20,24,25,27,,29,,33,34,35,36,39,40,41,46,47,48,50,55,,,,,,,,,,,,,,,,,,,,,,",,0.5022624434,43.137254902,56.862745098
35,दार्शनिक,19,"4,7,11,12,15,18,20,24,30,38,39,40,41,46,48,50,53,54,55,,,,,,,,,,,,,,,,,,,,,,,,,,,",दार्शनिक,0.5271493213,37.2549019608,62.7450980392
66,तरतीबी,19,"6,11,12,14,15,17,18,25,26,29,33,38,39,41,45,47,52,53,54,,,,,,,,,,,,,,,,,,,,,,,,,,,",तरतीब,0.5271493213,37.2549019608,62.7450980392
27,प्रतिध्वनित,17,",3,4,5,7,8,11,14,18,20,24,33,39,48,52,53,54,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,",प्रतिध्वनित,0.5512820513,33.3333333333,66.6666666667
49,विश्वासपात्र,17,"4,6,7,24,27,33,34,35,36,39,41,45,48,50,52,53,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",विश्वासपात्र,0.5512820513,33.3333333333,66.6666666667
73,स्वच्छन्द,17,"7,8,11,16,21,22,26,,29,30,31,33,35,39,47,50,52,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,",स्वच्छन्द,0.5512820513,33.3333333333,66.6666666667
88,अनुशासनात्मक,17,"7,11,16,20,24,25,,30,33,38,39,40,41,46,50,53,54,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,",अनुशासनात्मक,0.5512820513,33.3333333333,66.6666666667
28,नितान्त,16,"3,11,12,15,17,19,21,24,25,27,45,47,49,50,52,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",नितान्त,0.5656108597,31.3725490196,68.6274509804
39,मातृत्व,15,"4,5,7,12,20,24,25,27,,31,39,43,46,52,53,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",मातृत्व,0.5814479638,29.4117647059,70.5882352941
55,सत्ताच्युत,15,"5,7,11,12,15,17,18,19,24,26,33,38,41,49,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.5814479638,29.4117647059,70.5882352941
56,उत्पादन,15,"6,7,11,17,24,25,,29,30,,40,41,43,45,50,52,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",उत्पादन,0.5814479638,29.4117647059,70.5882352941
18,सर्वोत्कृष्ट,14,"3,4,5,18,20,27,,30,,33,35,39,41,46,48,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",सर्वोत्कृष्ट,0.5987933635,27.4509803922,72.5490196078
30,स्मृतियाँ,14,"3,4,7,11,18,25,30,31,39,40,41,48,53,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",स्मृति,0.5987933635,27.4509803922,72.5490196078
36,फौजदारी,14,"4,11,12,15,17,26,,30,31,,33,38,39,41,47,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",फौजदारी,0.5987933635,27.4509803922,72.5490196078
21,किलोल,13,"3,6,11,12,15,19,,29,31,38,39,41,52,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",किलोल,0.6176470588,25.4901960784,74.5098039216
24,पसोपेश,13,"3,14,15,16,17,21,25,26,,45,47,50,52,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",पसोपेश,0.6176470588,25.4901960784,74.5098039216
42,भभूत,13,"4,6,8,17,18,20,24,26,30,,33,42,45,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",भभूत,0.6176470588,25.4901960784,74.5098039216
62,सुकुमार,13,"6,8,15,16,19,24,25,31,,35,45,50,52,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",सुकुमार,0.6176470588,25.4901960784,74.5098039216
80,भौंचक्का,13,"4,7,11,15,24,25,,39,40,41,45,48,53,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",भौंचक्का,0.6176470588,25.4901960784,74.5098039216
