Rowno,Word,Count,Row
1,विपणन,41,"1,2,7,11,12,13,14,15,16,17,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,38,39,40,41,42,43,44,46,47,48,49,52,53,54,55"
3,विक्रय,34,"2,3,4,8,11,13,14,15,16,17,18,19,21,22,23,24,25,28,29,30,31,32,34,35,40,41,42,43,44,49,50,51,52,53"
5,वर्चस्व,31,"2,3,4,7,8,11,12,14,15,18,19,21,23,24,28,28,29,31,32,32,38,39,41,42,43,44,45,49,50,52,53"
7,वैकल्पिक,29,"3,4,7,11,12,15,17,20,24,25,26,27,29,31,32,33,34,35,39,40,45,46,47,50,51,52,53,54,55"
8,विकल्प,4,"3,24,28,32"
9,आकलन,13,"3,8,11,17,18,19,20,24,28,29,32,43,50"
10,संयोजन,8,"3,8,28,29,32,43,46,50"
12,दार्शनिक-भाव,10,"3,17,25,27,28,31,32,35,45,52"
13,अनियमितता,29,"3,5,6,7,11,12,14,15,17,20,24,27,28,29,30,38,39,40,41,43,44,45,46,47,48,50,52,53,55"
14,उन्मुक्त,27,"3,7,10,11,12,13,14,15,17,19,20,21,26,27,30,34,35,38,39,40,41,43,45,49,50,53,54"
15,गेसू,5,"3,12,24,28,42"
16,मालिन,1,3
17,गिलट,5,"3,15,17,38,54"
18,सर्वोत्कृष्ट,24,"3,4,5,18,20,27,28,30,32,32,32,32,32,32,32,32,32,33,35,39,41,46,48,50"
19,वल्लरियों,32,"3,7,11,12,14,15,16,17,18,19,21,24,25,26,27,28,31,33,34,36,38,39,40,41,45,46,47,49,52,53,54,55"
20,पद्मिनी,27,"3,4,5,7,14,16,18,20,22,23,25,27,28,30,33,35,36,41,42,45,47,48,50,52,53,54,55"
21,किलोल,14,"3,6,11,12,15,19,28,29,31,38,39,41,52,54"
22,अंधड़,9,"3,11,15,19,24,28,33,45,52"
23,ब्यौंड़े,26,"3,4,5,7,11,12,15,18,19,21,24,25,26,28,29,33,38,39,41,45,46,47,48,49,52,55"
24,पसोपेश,14,"3,14,15,16,17,21,25,26,28,45,47,50,52,54"
25,ऐंठनों,11,"3,15,19,25,28,28,29,30,35,50,55"
26,काकली,9,"3,15,24,26,29,38,41,51,54"
27,प्रतिध्वनित,17,"3,4,5,7,8,11,14,18,20,24,33,39,48,52,53,54,55"
28,नितान्त,16,"3,11,12,15,17,19,21,24,25,27,45,47,49,50,52,54"
29,अनुयायी,6,"3,15,19,29,31,52"
30,स्मृतियाँ,14,"3,4,7,11,18,25,30,31,39,40,41,48,53,54"
31,बिसाती,10,"3,6,12,15,17,19,26,28,38,54"
32,अंकलेश्वर,11,"4,4,16,20,26,28,30,32,33,42,53"
33,अद्वितीय,30,"4,7,11,12,17,19,24,25,26,27,28,30,31,32,33,35,36,38,39,40,43,45,46,47,48,50,52,53,54,55"
34,उपलब्धि,4,"4,28,32,43"
35,दार्शनिक,19,"4,7,11,12,15,18,20,24,30,38,39,40,41,46,48,50,53,54,55"
36,फौजदारी,16,"4,11,12,15,17,26,28,30,31,32,33,38,39,41,47,52"
37,च्छन्द,1,4
38,खुलाव,5,"4,8,24,28,29"
39,मातृत्व,16,"4,5,7,12,20,24,25,27,28,31,39,43,46,52,53,55"
40,महाभिनिष्क्रमण,33,"4,5,7,8,11,12,15,17,18,19,20,21,24,25,26,27,29,30,33,34,36,39,40,41,43,44,47,48,50,52,53,54,55"
42,भभूत,15,"4,6,8,17,18,20,24,26,30,32,32,33,42,45,54"
43,व्याकुल,23,"4,6,7,7,12,15,15,24,28,32,32,32,32,32,32,32,32,32,45,50,50,53,54"
44,खिड़की,2,"4,28"
45,जग्गन,10,"4,7,27,28,28,29,41,50,51,53"
46,मँडराते,4,"4,24,36,41"
47,बँधतीं,3,"4,28,33"
48,किवाड़,9,"4,12,14,24,26,28,30,35,38"
49,विश्वासपात्र,19,"4,4,6,7,24,27,33,34,35,36,36,39,41,45,48,50,52,53,54"
51,प्रशिक्षार्थियों,24,"5,7,13,16,19,20,24,25,27,28,29,32,33,34,35,36,39,40,41,46,47,48,50,55"
52,समानान्तर,25,"5,7,11,12,16,17,18,24,25,26,27,28,29,31,32,38,39,40,41,46,48,50,53,54,55"
53,अब,2,"5,32"
54,ऐंठनें,8,"5,7,20,24,24,28,40,52"
55,सत्ताच्युत,15,"5,7,11,12,15,17,18,19,24,26,33,38,41,49,52"
56,उत्पादन,18,"6,6,7,11,17,24,25,28,29,30,32,40,41,43,45,50,52,53"
58,हहराता,12,"6,24,25,28,31,32,38,47,49,50,53,54"
59,चायखाने,6,"6,26,29,47,50,54"
60,कौड़ियों,8,"6,18,24,33,40,46,50,54"
61,इक्नॉमिक्स,3,"6,7,48"
62,सुकुमार,15,"6,8,15,16,19,24,25,31,32,32,35,45,50,52,53"
63,सिटकनी,11,"6,14,19,20,28,30,33,41,47,50,52"
64,छिटक,5,"6,19,24,28,47"
65,इर्द-गिर्द,4,"6,24,40,53"
66,तरतीबी,20,"6,11,12,14,15,17,18,25,26,29,33,38,39,41,45,45,47,52,53,54"
67,डूबी-डूबी,2,"6,28"
68,चारपाइयों,6,"6,16,24,33,36,50"
69,दुष्कर,8,"7,10,16,24,28,32,46,50"
70,उपभोक्ता,12,"7,15,24,28,32,33,36,38,40,41,50,53"
71,मछुआरे,2,"7,24"
72,ठेकेदारों,3,"7,28,32"
73,स्वच्छन्द,18,"7,8,11,16,21,22,26,28,29,30,31,33,35,39,47,50,52,53"
74,इंजीनियरिंग,4,"7,28,33,36"
75,स्वास्थ्य,3,"7,28,33"
76,अभिन्न,4,"7,28,29,46"
77,वार्ता,2,"7,28"
78,उपन्यासों,5,"7,15,38,52,53"
79,तुनक,7,"7,26,31,32,33,38,54"
80,भौंचक्का,14,"4,7,11,15,24,25,28,39,40,41,45,48,53,54"
81,खूँखार,8,"7,24,32,33,35,41,53,54"
82,जलाश्य,7,"7,28,40,41,50,51,52"
83,एहतियात,13,"7,11,28,29,31,33,38,39,45,52,53,54,55"
84,कुंभलगढ़,7,"7,27,33,40,41,45,52"
85,तेन्दुए,2,"7,24"
86,सार्वजनिक,9,"7,11,28,33,39,40,46,51,54"
87,कार्यालय,1,7
88,अनुशासनात्मक,19,"7,11,16,20,24,24,25,28,30,33,38,39,40,41,46,50,53,54,55"
91,बाल-स्मृतियाँ,3,"8,45,52"
92,उम्र,2,"9,28"
93,निर्माण,3,"9,24,28"
94,मूसलाधार,13,"9,11,16,17,31,35,36,40,41,45,50,53,54"
95,व्यस्तताएँ,10,"9,11,18,28,30,33,40,41,46,48"
96,रस्सियों,4,"9,16,36,48"
97,बाधाहीन,6,"11,16,19,24,30,43"
98,द्वीप,6,"11,12,32,38,50,55"
99,सहसा,4,"11,15,28,52"
100,कसाव,7,"12,17,24,29,43,52,54"
101,बिलखने,11,"12,17,20,27,30,33,46,47,50,52,55"
102,बारजे,3,"12,28,33"
103,टिकोरे,9,"12,15,19,24,29,33,49,50,54"
10,सून,3,"14,15,32"
112,दर्जों,2,"14,15"
113,पूंजी,5,"15,24,28,32,50"
114,मानवता,3,"15,32,52"
115,बंधुआ,8,"15,16,20,24,27,28,45,53"
116,गठन,1,15
117,तरकारी,5,"15,43,44,49,52"
118,माफिक,6,"15,19,24,43,51,54"
119,इठलाने,6,"15,18,28,31,32,43"
120,लतरों,2,"15,52"
121,माजरा,3,"15,24,28"
122,बेधड़क,3,"15,39,46"
123,विचरण,10,"15,17,24,28,38,46,49,49,52,54"
124,चितेरे,5,"15,19,28,41,52"
125,दूभर,5,"15,28,29,38,54"
126,विघटन,10,"15,19,24,29,38,41,47,49,52,54"
127,श्रेष्ठप्रचार-प्रसा,1,16
128,टिकाया,4,"16,28,32,54"
129,बुद्धि,2,"16,33"
130,घसीटना,2,"16,36"
131,हिचकिचाया,1,16
132,प्रवेश,3,"16,28,51"
133,राजकुमार,6,"16,28,28,28,32,32"
134,राक्षसों,3,"16,31,40"
135,पंछियों,1,16
136,मुरझाए,3,"16,20,46"
137,नाममात्र,11,"17,18,20,24,28,34,42,45,53,54,55"
138,विपणनदुष्कर,1,18
139,उत्पाद,8,"18,24,28,30,32,32,41,52"
140,अनुभूति,6,"18,28,32,33,43,50"
141,संचालित,3,"18,32,41"
142,वजीर,2,"18,28"
143,ढेले,5,"19,20,28,30,47"
144,अद्भुत,5,"19,23,27,30,52"
145,भरूच,7,"20,28,30,32,42,51,53"
146,संगठन,5,"20,28,32,52,53"
147,बजाय,4,"20,28,32,32"
151,तालमेल,5,"24,28,32,36,54"
152,श्रेष्ठ,8,"24,28,32,34,43,48,50,53"
153,विज्ञापन,4,"24,28,32,52"
154,प्रचार-प्रसार,5,"24,28,32,34,50"
155,केन्द्रीय,7,"24,28,30,32,35,36,50"
156,भुगतान,3,"24,28,50"
157,प्रथा,2,"24,28"
158,संयम,3,"24,28,50"
159,साधना,2,"24,28"
160,एकमात्र,3,"24,28,43"
161,कंठ,1,24
162,गतिविधियों,8,"24,28,29,33,36,40,52,53"
163,सौन्दर्य,3,"24,28,28"
164,ऋतु,6,"24,30,33,33,50,55"
165,फुहारें,2,"24,54"
166,प्रकृति,2,"24,28"
167,हजीरा,3,"25,28,32"
168,कलकत्ता,1,25
170,कठिन,1,26
172,मुग्ध,4,"27,45,47,52"
173,वरिष्ठ,5,"27,30,33,50,52"
175,बीच,4,"28,28,32,32"
176,बैठाना,2,"28,32"
178,इन,6,"28,28,28,32,32,32"
179,सबको,3,"28,32,32"
180,बताते,2,"28,32"
181,अभियान,4,"28,32,52,54"
182,जिनके,2,"28,32"
184,मार्केटिंग,3,"28,32,33"
185,का,14,"28,28,28,28,28,28,28,28,28,28,28,32,32,32"
186,काम,3,"28,28,32"
187,आसान,2,"28,32"
188,मुश्किल,2,"28,32"
189,होता,3,"28,28,32"
190,जा,3,"28,28,32"
191,रहा,3,"28,28,32"
192,पास,6,"28,28,28,28,32,32"
193,एक-एक,3,"28,32,32"
194,चीज,2,"28,32"
195,कई,11,"28,32,32,32,32,32,32,32,32,32,32"
196,चमकदार,2,"28,32"
197,तो,7,"28,28,28,28,28,32,32"
198,पवन,4,"28,28,32,32"
199,अनुपम,6,"28,28,32,32,42,54"
200,भी,12,"28,28,28,28,28,28,28,28,28,28,32,32"
201,अभी,2,"28,32"
202,नए,2,"28,32"
203,ही,9,"28,28,28,28,28,32,32,32,32"
204,थे,4,"28,28,28,32"
205,पर,9,"28,28,28,28,28,28,28,32,32"
206,उन्हें,15,"28,28,28,28,32,32,32,32,32,32,32,32,32,32,32"
207,छब्बीस,2,"28,32"
208,कार्य,3,"28,32,32"
209,करना,4,"28,28,32,32"
211,राजकोट,2,"28,32"
213,वे,4,"28,28,32,32"
214,एक,15,"28,28,28,28,28,28,28,28,28,28,32,32,32,32,32"
215,दिन,17,"28,28,28,28,28,28,32,32,32,32,32,32,32,32,32,32,32"
216,टिकते,2,"28,32"
217,कि,6,"28,28,28,32,32,32"
218,अगले,2,"28,32"
219,सूरत,4,"28,28,32,32"
220,दौरे,2,"28,32"
221,भेज,2,"28,32"
222,दिया,3,"28,28,32"
224,हर,3,"28,28,32"
225,जगह,3,"28,28,32"
226,किसी,6,"28,28,28,28,28,32"
227,तीन,3,"28,28,32"
228,सितारा,2,"28,32"
229,होटल,2,"28,32"
230,इन्हें,2,"28,32"
231,जाता,2,"28,32"
232,फिर,3,"28,28,32"
233,अगला,3,"28,28,32"
234,मुकाम,2,"28,32"
236,वहाँ,2,"28,32"
237,कंपनी,4,"28,28,32,32"
238,तेल,2,"28,32"
239,कुएँ,2,"28,32"
241,लेकिन,3,"28,32,32"
242,पहली,2,"28,32"
243,की,36,"28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,32,32,32,32,32,32,32,32,32"
