Rowno,Word,Count,Row,Root,Percent observed agreement,Aggreement Percent (Complex),Aggreement Percent (Simple)
1,विपणन,39,"1,3,4,5,7,10,12,14,15,16,17,19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,36,37,38,39,41,45,46,48,49,51,52,54,55",विपणन,0.6683673469,82.9787234043,17.0212765957
41,महाभिनिष्क्रमण,34,"3,4,5,7,9,10,13,17,19,20,21,22,24,27,28,30,32,33,34,35,36,37,38,39,40,41,42,44,45,46,49,52,54,55,,,,,",,0.5663265306,72.3404255319,27.6595744681
33,विक्रय,28,"3,5,7,9,12,13,14,15,18,20,21,22,26,28,31,34,36,37,38,40,41,44,45,46,52,53,54,55,,,,,,,,,,,",विक्रय,0.5,59.5744680851,40.4255319149
38,दार्शनिक,27,"3,5,12,15,22,24,27,28,41,42,46,48,51,52,53,54,55,4,13,14,17,21,26,33,43,44,49,,,,,,,,,,,,",दार्शनिक,0.4948979592,57.4468085106,42.5531914894
45,वल्लरियों,27,"3,4,5,7,12,14,15,17,19,20,21,22,26,27,28,30,32,35,37,38,42,43,44,49,52,54,55,,,,,,,,,,,,",वल्लरि,0.4948979592,57.4468085106,42.5531914894
36,अद्वितीय,26,"3,13,14,15,20,21,22,24,26,28,30,31,32,35,36,37,38,40,42,43,45,46,49,,51,53,54,,,,,,,,,,,,",अद्वितीय,0.4948979592,55.3191489362,44.6808510638
24,प्रशिक्षार्थियों,26,"2,3,,12,13,14,16,19,21,24,26,28,31,34,35,36,37,40,41,42,43,46,49,51,53,54,55,,,,,,,,,,,,",,0.4914965986,55.3191489362,44.6808510638
6,उन्मुक्त,25,"1,3,4,5,7,10,14,15,19,27,28,30,32,33,35,36,37,42,43,44,46,49,51,52,54,,,,,,,,,,,,,,",उन्मुक्त,0.4897959184,53.1914893617,46.8085106383
20,सत्ताच्युत,22,"1,3,4,5,7,10,13,15,18,19,22,28,30,32,33,37,42,43,44,49,52,55,,,,,,,,,,,,,,,,,",,0.4948979592,46.8085106383,53.1914893617
56,बिलखने,22,"4,7,13,17,19,20,21,22,26,30,33,37,38,39,40,41,42,43,44,46,49,54,,,,,,,,,,,,,,,,,",,0.4948979592,46.8085106383,53.1914893617
60,तरतीबी,22,"4,5,10,14,16,17,21,22,24,28,30,34,37,38,40,42,43,44,46,49,51,52,,,,,,,,,,,,,,,,,",तरतीब,0.4948979592,46.8085106383,53.1914893617
44,भभूत,21,"3,4,12,14,17,19,21,22,24,25,28,31,32,33,40,41,42,43,44,51,53,,,,,,,,,,,,,,,,,,",भभूत,0.5,44.6808510638,55.3191489362
62,वैकल्पिक,21,"5,12,13,14,15,17,18,21,22,26,27,28,32,35,37,40,48,49,52,54,55,,,,,,,,,,,,,,,,,,",वैकल्पिक,0.5,44.6808510638,55.3191489362
14,सिटकनी,20,"1,4,5,12,15,17,18,19,20,25,28,31,32,37,39,40,42,49,51,54,,,,,,,,,,,,,,,,,,,",सिटकनी,0.5068027211,42.5531914894,57.4468085106
18,पसोपेश,20,",1,3,5,12,15,17,18,21,24,26,28,30,32,33,42,44,49,52,53,51,,,,,,,,,,,,,,,,,,",पसोपेश,0.5068027211,42.5531914894,57.4468085106
32,स्वच्छन्द,20,"2,3,15,20,21,22,26,30,32,33,37,38,42,44,46,49,51,52,53,55,,,,,,,,,,,,,,,,,,,",स्वच्छन्द,0.5068027211,42.5531914894,57.4468085106
21,बिसाती,18,"1,3,15,17,18,21,22,26,27,28,30,32,33,38,40,42,49,52,,,,,,,,,,,,,,,,,,,,,",बिसाती,0.5255102041,38.2978723404,61.7021276596
63,हहराता,18,"5,10,12,14,15,19,20,22,27,28,30,32,33,36,37,38,44,49,,,,,,,,,,,,,,,,,,,,,",,0.5255102041,38.2978723404,61.7021276596
65,बंधुआ,17,"5,13,14,17,20,26,27,28,32,33,36,37,38,39,42,44,55,,,,,,,,,,,,,,,,,,,,,,",बंधुआ,0.537414966,36.170212766,63.829787234
