Rowno,Word,Count,Row
1,विपणन,41,"1,3,4,5,6,7,10,12,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,37,38,39,41,45,46,48,49,51,52,54,55"
4,कसाव,16,"1,5,7,12,16,19,20,23,30,38,41,42,43,44,52,55"
5,माफिक,7,"1,12,16,23,24,28,52"
6,उन्मुक्त,26,"1,3,4,5,7,10,14,15,19,23,27,28,30,32,33,35,36,37,42,43,44,46,49,51,52,54"
7,दर्जों,3,"1,19,23"
8,महाभिनिष्क्रम,1,1
9,लतरों,14,"1,6,7,10,19,23,25,27,30,37,39,39,42,49"
10,दूब,2,"1,23"
11,गिलट,9,"1,19,23,26,30,37,39,43,49"
12,तुनक,12,"1,4,5,6,10,23,24,28,30,44,51,52"
13,अंधड़,12,"1,7,17,19,21,30,33,34,36,37,44,52"
14,सिटकनी,21,"1,4,5,12,15,17,18,19,20,23,25,28,31,32,37,39,40,42,49,51,54"
15,ब्यौंड़े,10,"1,10,14,17,19,23,26,37,49,52"
16,बारजे,5,"1,17,19,23,43"
17,टिकोरे,10,"1,17,19,23,33,37,39,40,44,49"
18,पसोपेश,21,"1,3,5,12,15,17,18,21,23,24,26,28,28,30,32,33,42,44,49,52,53"
19,ऐंठनें,5,"1,12,23,34,39"
20,सत्ताच्युत,23,"1,3,4,5,7,10,13,15,18,19,22,23,28,30,32,33,37,42,43,44,49,52,55"
21,बिसाती,19,"1,3,15,17,18,21,22,23,26,27,28,30,32,33,38,40,42,49,52"
22,दुष्कर,17,"2,3,5,12,15,22,26,28,31,34,35,41,43,44,50,51,55"
23,विकल्प,7,"2,3,12,16,28,31,51"
24,प्रशिक्षार्थियों,28,"2,3,6,12,13,14,16,19,21,24,26,28,31,34,35,36,37,40,41,42,43,46,49,51,53,54,55,55"
25,संयोजन,8,"2,19,20,23,26,38,43,52"
26,वर्चस्व,14,"2,7,12,12,19,20,21,23,25,30,37,38,42,52"
29,कौड़ियों,7,"2,15,22,25,49,53,54"
30,अनियमितता,16,"2,13,13,13,14,19,23,24,27,30,35,37,40,42,46,49"
31,गठन,6,"2,6,17,41,54,55"
32,स्वच्छन्द,21,"2,3,15,20,21,22,23,26,30,32,33,37,38,42,44,46,49,51,52,53,55"
33,विक्रय,29,"3,5,7,9,12,13,14,15,18,20,21,22,23,26,28,31,34,36,37,38,40,41,44,45,46,52,53,54,55"
34,उपभोक्ता,7,"3,7,23,26,28,41,54"
35,संगठन,9,"3,6,15,22,23,27,33,46,48"
36,अद्वितीय,29,"3,6,13,14,15,20,21,22,23,24,26,28,30,31,32,35,36,37,38,40,42,43,45,46,49,50,51,53,54"
37,चायखाने,5,"3,28,31,32,33"
