word,length,syllables,consonants,vowels,consonantconjuncts,count,senses,synonyms,hypernyms,hyponyms,authors,years,source
सुबह,4,2,3,1,0,1267,2,40,31,0,"Kunal Singh,Sudhakar Adeeb,Usha Kiran Khan,Mehrunisa Parvez,Naresh Nadeem,Jayshree Roy,Devkinandan Khatri,Mamta Kalia,Sharatchandra Chattopadhyay,Suraj Prakash,Premchand,Bhairav Prasad Gupt,Asgar Vajahat,Vibhooti Narayan Roy,Dharmveer Bharti,Santosh Chaube,A. Asafal,Santosh Shrivastav,Kavita,Premchand Sahajvala,Anwar Suhail,Kashinath Singh,Jainandan,Ravindra Kalia,Manisha Kulshreshth,unk,Yashwant Kothari,Jitendra Visaria,na,dada bhagvan","2010,2000,2015,1982,2012,1888,1920,2009,1928,1952,unk,1983,1936,1949,1932,2005,1998,2006,2003,2013,1926,2008,1988,1917,na,1997,2004,2014,2007","story_na,wiki_books,wiki_culture,wiki_festivals,wiki_food,wiki_health,wiki_parenting,wiki_religion,wiki_science,wiki_sports,wiki_transport,wiki_universe,story_bhandarkar oriental research institute,web_news"
गूँज,4,1,2,2,0,47,4,15,60,0,"Sudhakar Adeeb,Usha Kiran Khan,Naresh Nadeem,Devkinandan Khatri,Bhairav Prasad Gupt,Premchand,Dharmveer Bharti,Jayshankar Prasad,Santosh Chaube,Santosh Shrivastav,Premchand Sahajvala,Anwar Suhail,Vibhooti Narayan Roy,Kashinath Singh,Jainandan,Manisha Kulshreshth,Sharatchandra Chattopadhyay,unk,na","2000,2015,2012,1888,1952,1936,1949,1929,2006,2003,2013,unk,2009,2008,1917,na","story_na,wiki_art,wiki_books,wiki_music,wiki_universe,web_news"
जीवन,4,2,3,1,0,2703,7,79,101,95,"Kunal Singh,Sudhakar Adeeb,Usha Kiran Khan,Naresh Nadeem,Jayshree Roy,Mamta Kalia,Sharatchandra Chattopadhyay,Suraj Prakash,Premchand,Bhairav Prasad Gupt,Asgar Vajahat,Vibhooti Narayan Roy,Dharmveer Bharti,Jayshankar Prasad,Tufail Chaturvedi,Santosh Chaube,Santosh Shrivastav,Kavita,Premchand Sahajvala,Anwar Suhail,Yashpal Jain,Kashinath Singh,Jainandan,Ravindra Kalia,Manisha Kulshreshth,unk,Yashwant Kothari,Jitendra Visaria,na,dada bhagvan","2010,2000,2015,2012,1920,2009,1928,1952,unk,1983,1936,1949,1929,1932,1998,2006,2003,2013,1926,2008,1988,1917,na,1997,2004,2011,2014,2007","story_na,wiki_animals,wiki_art,wiki_automobiles,wiki_books,wiki_cinema,wiki_culture,wiki_defence,wiki_education,wiki_festivals,wiki_food,wiki_health,wiki_history,wiki_law,wiki_money,wiki_music,wiki_nature,wiki_ngo,wiki_parenting,wiki_politics,wiki_religion,wiki_science,wiki_sports,wiki_tourism,wiki_transport,wiki_universe,wiki_weather,wiki_wedding,story_bhandarkar oriental research institute,web_news"
कहना,4,2,3,1,0,4250,2,9,6,80,"Kunal Singh,Sudhakar Adeeb,Usha Kiran Khan,Naresh Nadeem,Jayshree Roy,Devkinandan Khatri,Sharatchandra Chattopadhyay,Suraj Prakash,Mamta Kalia,Premchand,Bhairav Prasad Gupt,Asgar Vajahat,Vibhooti Narayan Roy,Dharmveer Bharti,Jayshankar Prasad,Amrita Pritam,Tufail Chaturvedi,Santosh Chaube,Santosh Shrivastav,Kavita,Premchand Sahajvala,Anwar Suhail,Ravindra Kalia,Manisha Kulshreshth,unk,Ayodhya Singh Upadhayay Hariaudh,Yashwant Kothari,na,dada bhagvan","2010,2000,2015,2012,1888,1920,2009,1928,1952,unk,1983,1936,1949,1929,1932,2005,1998,2006,2003,2013,1926,1988,1917,1899,na,1997,2004,2014,2007,2008","story_na,wiki_animals,wiki_art,wiki_books,wiki_cinema,wiki_education,wiki_festivals,wiki_food,wiki_health,wiki_history,wiki_law,wiki_money,wiki_music,wiki_nature,wiki_parenting,wiki_politics,wiki_religion,wiki_science,wiki_technology,wiki_weather,wiki_wedding,story_bhandarkar oriental research institute,web_news"
सामना,5,2,3,2,0,672,4,36,24,59,"Kunal Singh,Sudhakar Adeeb,Usha Kiran Khan,Naresh Nadeem,Jayshree Roy,Devkinandan Khatri,Suraj Prakash,Mamta Kalia,Premchand,Vibhooti Narayan Roy,Jayshankar Prasad,Tufail Chaturvedi,Santosh Shrivastav,Kavita,Anwar Suhail,Jainandan,Sharatchandra Chattopadhyay,unk,na,dada bhagvan","2010,2000,2015,2012,1888,2009,1928,1983,1936,1929,1932,unk,1998,2003,1917,na,2006","story_na,wiki_art,wiki_automobiles,wiki_culture,wiki_defence,wiki_food,wiki_health,wiki_history,wiki_law,wiki_money,wiki_nature,wiki_politics,wiki_religion,wiki_science,wiki_sports,wiki_tourism,wiki_transport,wiki_universe,story_bhandarkar oriental research institute,web_news"
नेता,4,2,2,2,0,1934,2,13,24,104,"Kunal Singh,Sudhakar Adeeb,Mamta Kalia,Bhairav Prasad Gupt,Asgar Vajahat,Premchand,Vibhooti Narayan Roy,Santosh Chaube,Premchand Sahajvala,Anwar Suhail,Jainandan,Santosh Shrivastav,Yashwant Kothari,na","2010,2000,2009,1952,unk,1936,1932,1998,2006,2013,1988,1983,na,2012","story_na,wiki_automobiles,wiki_books,wiki_cinema,wiki_education,wiki_festivals,wiki_history,wiki_money,wiki_politics,wiki_religion,wiki_transport,wiki_universe,story_bhandarkar oriental research institute,web_news"
राज्य,5,2,3,2,1,2991,8,47,107,281,"Kunal Singh,Sudhakar Adeeb,Usha Kiran Khan,Devkinandan Khatri,Premchand,Asgar Vajahat,Jayshankar Prasad,Tufail Chaturvedi,Vibhooti Narayan Roy,Santosh Chaube,Premchand Sahajvala,Sharatchandra Chattopadhyay,Anwar Suhail,Yashpal Jain,Jainandan,Ravindra Kalia,Manisha Kulshreshth,unk,Yashwant Kothari,na,dada bhagvan","2010,2000,2015,1888,1928,unk,1929,1932,1998,2006,2013,1926,2012,1917,1983,na,2004","story_na,wiki_animals,wiki_art,wiki_automobiles,wiki_books,wiki_cinema,wiki_culture,wiki_defence,wiki_education,wiki_festivals,wiki_food,wiki_health,wiki_history,wiki_law,wiki_money,wiki_music,wiki_nature,wiki_ngo,wiki_parenting,wiki_politics,wiki_religion,wiki_science,wiki_sports,wiki_technology,wiki_tourism,wiki_transport,wiki_universe,wiki_weather,wiki_wedding,story_bhandarkar oriental research institute,web_news"
खेल,3,1,2,1,0,1903,7,44,50,122,"Kunal Singh,Sudhakar Adeeb,Usha Kiran Khan,Naresh Nadeem,Jayshree Roy,Devkinandan Khatri,Mamta Kalia,Sharatchandra Chattopadhyay,Suraj Prakash,Premchand,Bhairav Prasad Gupt,Asgar Vajahat,Vibhooti Narayan Roy,Dharmveer Bharti,Jayshankar Prasad,Tufail Chaturvedi,Santosh Chaube,Santosh Shrivastav,Kavita,Premchand Sahajvala,Anwar Suhail,Yashpal Jain,Kashinath Singh,Ravindra Kalia,Manisha Kulshreshth,unk,Jitendra Visaria,na,dada bhagvan","2010,2000,2015,2012,1888,1920,2009,1928,1952,unk,1983,1936,1949,1929,1932,1998,2006,2003,2013,2008,1988,1917,na,2014","story_na,wiki_animals,wiki_art,wiki_automobiles,wiki_cinema,wiki_culture,wiki_education,wiki_festivals,wiki_health,wiki_history,wiki_nature,wiki_ngo,wiki_politics,wiki_science,wiki_sports,wiki_tourism,story_bhandarkar oriental research institute,web_news"
नाम,3,1,2,1,0,5295,5,60,48,36,"Kunal Singh,Sudhakar Adeeb,Usha Kiran Khan,Mehrunisa Parvez,Naresh Nadeem,Jayshree Roy,Devkinandan Khatri,Mamta Kalia,Sharatchandra Chattopadhyay,Suraj Prakash,Premchand,Bhairav Prasad Gupt,Asgar Vajahat,Vibhooti Narayan Roy,Dharmveer Bharti,Jayshankar Prasad,Amrita Pritam,Tufail Chaturvedi,Santosh Chaube,A. Asafal,Santosh Shrivastav,Kavita,Premchand Sahajvala,Anwar Suhail,Yashpal Jain,Kashinath Singh,Jainandan,Ravindra Kalia,Manisha Kulshreshth,unk,Ayodhya Singh Upadhayay Hariaudh,Yashwant Kothari,Jitendra Visaria,na,dada bhagvan","2010,2000,2015,1982,2012,1888,1920,2009,1928,1952,unk,1983,1936,1949,1929,1932,2005,1998,2006,2003,2013,1926,2008,1988,1917,1899,na,2004,1997,2011,2014,2007","story_na,wiki_animals,wiki_art,wiki_automobiles,wiki_books,wiki_cinema,wiki_culture,wiki_defence,wiki_education,wiki_festivals,wiki_food,wiki_health,wiki_history,wiki_law,wiki_money,wiki_music,wiki_nature,wiki_ngo,wiki_parenting,wiki_politics,wiki_religion,wiki_science,wiki_sports,wiki_technology,wiki_tourism,wiki_transport,wiki_universe,wiki_weather,wiki_wedding,story_bhandarkar oriental research institute,web_news"
ज्यादा,6,3,3,3,1,2505,1,19,0,0,"Kunal Singh,Sudhakar Adeeb,Usha Kiran Khan,Mehrunisa Parvez,Naresh Nadeem,Jayshree Roy,Devkinandan Khatri,Mamta Kalia,Suraj Prakash,Premchand,Bhairav Prasad Gupt,Asgar Vajahat,Vibhooti Narayan Roy,Dharmveer Bharti,Santosh Chaube,A. Asafal,Santosh Shrivastav,Kavita,Premchand Sahajvala,Anwar Suhail,Kashinath Singh,Jainandan,Ravindra Kalia,Manisha Kulshreshth,Sharatchandra Chattopadhyay,Yashwant Kothari,Jitendra Visaria,na,dada bhagvan","2010,2000,2015,1982,2012,1888,2009,1928,1952,unk,1983,1936,1949,1932,2005,1998,2006,2003,2013,2008,1988,1917,na","story_na,wiki_animals,wiki_art,wiki_automobiles,wiki_books,wiki_cinema,wiki_culture,wiki_defence,wiki_education,wiki_festivals,wiki_food,wiki_health,wiki_history,wiki_law,wiki_money,wiki_music,wiki_nature,wiki_parenting,wiki_politics,wiki_religion,wiki_science,wiki_sports,wiki_tourism,wiki_transport,wiki_universe,wiki_weather,story_bhandarkar oriental research institute,web_news"
