length,syllables,consonants,vowels,consonantconjuncts,senses,synonyms,hypernyms,hyponyms,complex
4,2,3,1,0,2,40,31,0,0
4,1,2,2,0,4,15,60,0,0
4,2,3,1,0,7,79,101,95,0
4,2,3,1,0,2,9,6,80,0
5,2,3,2,0,4,36,24,59,0
4,2,2,2,0,2,13,24,104,0
5,2,3,2,1,8,47,107,281,0
3,1,2,1,0,7,44,50,122,0
3,1,2,1,0,5,60,48,36,0
6,3,3,3,1,1,19,0,0,0
5,2,2,3,1,10,109,0,0,0
5,2,3,2,0,5,9,0,0,0
6,2,3,3,1,4,66,48,204,0
3,1,2,1,0,9,57,97,683,0
3,2,3,0,0,12,74,151,600,0
5,3,3,2,0,1,31,15,689,0
6,4,4,2,0,2,3,0,0,0
4,2,3,1,0,4,14,48,47,0
5,2,3,2,1,5,54,79,9,0
5,3,3,2,0,2,85,4,6,0
4,1,1,2,0,0,0,0,0,0
3,1,2,1,0,1,36,0,0,0
6,3,3,3,0,3,25,0,0,0
4,3,4,0,0,0,0,0,0,0
5,3,4,1,0,3,32,0,0,0
4,2,3,1,0,1,12,0,0,0
4,2,3,1,0,2,40,31,0,0
5,3,4,1,0,3,32,0,0,0
5,2,3,2,0,2,16,11,41,0
6,2,3,3,1,1,8,0,0,0
5,2,3,2,1,7,95,97,115,0
5,2,3,2,0,2,7,18,9,0
5,2,3,2,0,2,4,22,0,0
3,1,2,1,0,11,55,56,336,0
6,3,3,3,0,4,16,17,0,0
4,2,2,2,0,1,3,14,0,0
6,3,3,3,1,1,7,6,0,0
4,2,3,1,0,3,4,38,3,0
5,2,3,2,1,6,208,49,417,0
4,2,2,2,0,5,117,56,712,0
5,2,2,3,0,1,2,8,0,0
5,3,3,2,0,6,12,86,265,0
4,2,2,2,0,5,55,84,451,0
5,2,3,2,0,2,24,6,158,0
6,2,4,2,1,3,23,22,61,0
5,3,4,1,0,1,13,7,11,1
14,6,9,5,2,0,0,0,0,1
6,2,4,2,1,1,7,8,15,1
8,4,4,4,1,1,43,0,0,1
