pid,word,complexity
eicwgihgtp0, 'अकड़ना',5
eicwgihgtp0, 'अँकड़ना',5
eicwgihgtp0, 'अंगना',1
eicwgihgtp0, 'अंजर-पंजर',4
eicwgihgtp0, 'अंजरपंजर',1
eicwgihgtp0, 'अंजल',1
eicwgihgtp0, 'अंजलि_पात्र',1
eicwgihgtp0, 'अंजलि',1
eicwgihgtp0, 'अंजलिपुट',1
eicwgihgtp0, 'अँजली',1
eicwgihgtp0, 'अंजली',1
eicwgihgtp0, 'अँजुरी',1
eicwgihgtp0, 'अंजुरी',1
eicwgihgtp0, 'अंजुल',1
eicwgihgtp0, 'अंजुली',1
eicwgihgtp0, 'अञ्जर-पञ्जर',1
eicwgihgtp0, 'अञ्जरपञ्जर',1
eicwgihgtp0, 'अञ्जलि',1
eicwgihgtp0, 'अड़ान',1
eicwgihgtp0, 'अतः',4
eicwgihgtp0, 'अतएव',1
eicwgihgtp0, 'अनुरागना',4
eicwgihgtp0, 'अबला',5
eicwgihgtp0, 'अवस्कंद',1
eicwgihgtp0, 'अवस्कन्द',1
eicwgihgtp0, 'अस्थि-पंजर',1
eicwgihgtp0, 'अस्थि-पञ्जर',1
eicwgihgtp0, 'अस्थिपंजर',1
eicwgihgtp0, 'अस्थिपञ्जर',1
eicwgihgtp0, 'आधान',1
eicwgihgtp0, 'आधार',3
eicwgihgtp0, 'आशुग',1
eicwgihgtp0, 'आशुग',1
eicwgihgtp0, 'आसक्त_होना',1
eicwgihgtp0, 'आस्पद',1
eicwgihgtp0, 'इकाई_स्थान',1
eicwgihgtp0, 'इकाई',1
eicwgihgtp0, 'इंजर-पिंजर',4
eicwgihgtp0, 'इञ्जर-पिञ्जर',1
eicwgihgtp0, 'इसलिए',5
eicwgihgtp0, 'इसीलिए',5
eicwgihgtp0, 'उकेला',1
eicwgihgtp0, 'एकक',1
eicwgihgtp0, 'औद्योगिकी',1
eicwgihgtp0, 'औरत',5
eicwgihgtp0, 'कंकाल',5
eicwgihgtp0, 'कंटेनर',5
eicwgihgtp0, 'कन्टेनर',5
eicwgihgtp0, 'कंपू',1
eicwgihgtp0, 'करपात्र',1
eicwgihgtp0, 'कानीन',1
eicwgihgtp0, 'कृष्ण_द्वैपायन',1
eicwgihgtp0, 'कोश',3
eicwgihgtp0, 'कोष',3
eicwgihgtp0, 'चकता',1
eicwgihgtp0, 'चकत्ता',1
eicwgihgtp0, 'चटका',1
eicwgihgtp0, 'चट्टा',1
eicwgihgtp0, 'चट्टी',1
eicwgihgtp0, 'चलबाँक',1
eicwgihgtp0, 'चलबाँक',1
eicwgihgtp0, 'चुनाँचे',1
eicwgihgtp0, 'चुनांचे',1
eicwgihgtp0, 'छावनी',1
eicwgihgtp0, 'ज़न',1
eicwgihgtp0, 'जोषिता',1
eicwgihgtp0, 'टप्पा',1
eicwgihgtp0, 'टिकान',1
eicwgihgtp0, 'टेक्नालजी',5
eicwgihgtp0, 'टेक्नालॉजी',5
eicwgihgtp0, 'टेक्नॉलजी',5
eicwgihgtp0, 'टेक्नॉलॉजी',5
eicwgihgtp0, 'टेक्नॉलोजी',5
eicwgihgtp0, 'ठठरी',1
eicwgihgtp0, 'ठठेर',1
eicwgihgtp0, 'ठाटर',1
eicwgihgtp0, 'ठाठ',1
eicwgihgtp0, 'ठाठर',1
eicwgihgtp0, 'ठिठुरना',1
eicwgihgtp0, 'ठिठुरे',1
eicwgihgtp0, 'डब्बा',5
eicwgihgtp0, 'डायमीटर',5
eicwgihgtp0, 'डिब्बा',5
eicwgihgtp0, 'डेरा',5
eicwgihgtp0, 'डौर',1
eicwgihgtp0, 'डौल',1
eicwgihgtp0, 'ढलना',3
eicwgihgtp0, 'ढाँचा',1
eicwgihgtp0, 'ढांचा',1
eicwgihgtp0, 'तनु',1
eicwgihgtp0, 'तबक़',1
eicwgihgtp0, 'तबके',1
eicwgihgtp0, 'तह',5
eicwgihgtp0, 'तिय',1
eicwgihgtp0, 'तिरिया',1
eicwgihgtp0, 'तीव',1
eicwgihgtp0, 'तीव्रगामी',5
eicwgihgtp0, 'तीव्रगामी',5
eicwgihgtp0, 'तेज',5
eicwgihgtp0, 'तेज',5
eicwgihgtp0, 'तेज़',5
eicwgihgtp0, 'तेज़',5
eicwgihgtp0, 'त्रिया',1
eicwgihgtp0, 'थर',1
eicwgihgtp0, 'ददोड़ा',1
eicwgihgtp0, 'ददोरा',1
eicwgihgtp0, 'दोना',1
eicwgihgtp0, 'दौना',1
eicwgihgtp0, 'द्रुतगति',1
eicwgihgtp0, 'द्रुतगति',1
eicwgihgtp0, 'द्रुतगामी',1
eicwgihgtp0, 'द्रुतगामी',1
eicwgihgtp0, 'द्रोण',1
eicwgihgtp0, 'नार',1
eicwgihgtp0, 'नारी',5
eicwgihgtp0, 'निकालना',5
eicwgihgtp0, 'निःशुल्क',2
eicwgihgtp0, 'निश्शुल्क',2
eicwgihgtp0, 'निष्काशन',1
eicwgihgtp0, 'निष्कासन',1
eicwgihgtp0, 'निहित',1
eicwgihgtp0, 'पंजर',1
eicwgihgtp0, 'पञ्जर',1
eicwgihgtp0, 'पटल',1
eicwgihgtp0, 'पत्रपुट',1
eicwgihgtp0, 'परत',5
eicwgihgtp0, 'पात्र',4
eicwgihgtp0, 'पाराशर',1
eicwgihgtp0, 'पिंजर',5
eicwgihgtp0, 'पिञ्जर',5
eicwgihgtp0, 'पुर',1
eicwgihgtp0, 'प्रौद्योगिकी',1
eicwgihgtp0, 'फास्ट',5
eicwgihgtp0, 'फास्ट',5
eicwgihgtp0, 'फ़िदा_होना',5
eicwgihgtp0, 'बादरायण',1
eicwgihgtp0, 'बिना_मूल्य',5
eicwgihgtp0, 'बैयर',1
eicwgihgtp0, 'ब्यास_नदी',5
eicwgihgtp0, 'ब्यास',2
eicwgihgtp0, 'भाम',1
eicwgihgtp0, 'भामा',1
eicwgihgtp0, 'भामिनी',1
eicwgihgtp0, 'भुवन',1
eicwgihgtp0, 'मरना',5
eicwgihgtp0, 'महर्षि_व्यास',5
eicwgihgtp0, 'महिला',5
eicwgihgtp0, 'मानववादी',4
eicwgihgtp0, 'मानवी',1
eicwgihgtp0, 'मानुषी',1
eicwgihgtp0, 'मुफ्त',5
eicwgihgtp0, 'मुफ़्त',5
eicwgihgtp0, 'मेहना',1
eicwgihgtp0, 'मोहित_होना',5
eicwgihgtp0, 'यूनिट',5
eicwgihgtp0, 'योषिता',1
eicwgihgtp0, 'रंगना',5
eicwgihgtp0, 'रीझना',1
eicwgihgtp0, 'रीझने',1
eicwgihgtp0, 'लट्टू_होना',5
eicwgihgtp0, 'लिहाजा',4
eicwgihgtp0, 'लिहाज़ा',5
eicwgihgtp0, 'लुगाई',5
eicwgihgtp0, 'लुढ़कना',5
eicwgihgtp0, 'लोक',1
eicwgihgtp0, 'लोगाई',5
eicwgihgtp0, 'वनिता',5
eicwgihgtp0, 'वरक',1
eicwgihgtp0, 'वरक़',1
eicwgihgtp0, 'वर्क',1
eicwgihgtp0, 'वर्क़',1
eicwgihgtp0, 'वादरायण',1
eicwgihgtp0, 'वामा',1
eicwgihgtp0, 'वासवेय',1
eicwgihgtp0, 'वासिता',1
eicwgihgtp0, 'वासुरा',1
eicwgihgtp0, 'विक्षेप',1
eicwgihgtp0, 'विपाशा_नदी',5
eicwgihgtp0, 'विपाशा',1
eicwgihgtp0, 'वेद_व्यास',5
eicwgihgtp0, 'वेदव्यास',5
eicwgihgtp0, 'व्यास_नदी',5
eicwgihgtp0, 'व्यास',2
eicwgihgtp0, 'शफरुक',1
eicwgihgtp0, 'शिविर',2
eicwgihgtp0, 'शीघ्रगामी',5
eicwgihgtp0, 'शीघ्रगामी',5
eicwgihgtp0, 'संपुट',1
eicwgihgtp0, 'सम्पुट',1
eicwgihgtp0, 'सुनंदा',1
eicwgihgtp0, 'सुनन्दा',1
eicwgihgtp0, 'सैनिक_शिविर',2
eicwgihgtp0, 'स्तर',4
