,gid,word,simple,complex
0,cwig8,अकड़ना,1,4
1,cwig8,अँकड़ना,1,4
2,cwig8,अंगना,2,0
3,cwig8,अंजरपंजर,1,2
4,cwig8,अंजल,1,4
5,cwig8,अंजलि,1,4
6,cwig8,अंजलिपुट,3,2
7,cwig8,अँजली,1,4
8,cwig8,अंजली,1,4
9,cwig8,अँजुरी,2,3
10,cwig8,अंजुरी,3,2
11,cwig8,अंजुल,2,3
12,cwig8,अंजुली,2,3
13,cwig8,अञ्जरपञ्जर,2,1
14,cwig8,अञ्जलि,3,2
15,cwig8,अड़ान,1,0
16,cwig8,अतः,0,4
17,cwig8,अतएव,1,3
18,cwig8,अनुरागना,0,3
19,cwig8,अबला,0,2
20,cwig8,अवस्कंद,1,0
21,cwig8,अवस्कन्द,1,0
22,cwig8,अस्थिपंजर,1,2
23,cwig8,अस्थिपञ्जर,2,1
24,cwig8,आधान,1,4
25,cwig8,आधार,0,5
26,cwig8,आशुग,2,0
27,cwig8,आस्पद,2,3
28,cwig8,इकाई,1,1
29,cwig8,इसलिए,0,4
30,cwig8,इसीलिए,0,4
31,cwig8,उकेला,1,1
32,cwig8,एकक,1,1
33,cwig8,औद्योगिकी,2,2
34,cwig8,औरत,0,2
35,cwig8,कंकाल,0,3
36,cwig8,कंटेनर,0,5
37,cwig8,कन्टेनर,0,5
38,cwig8,कंपू,1,0
39,cwig8,करपात्र,3,2
40,cwig8,कानीन,1,3
41,cwig8,कोश,0,5
42,cwig8,कोष,0,5
43,cwig8,चकता,1,1
44,cwig8,चकत्ता,1,1
45,cwig8,चटका,2,2
46,cwig8,चट्टा,1,1
47,cwig8,चट्टी,1,0
48,cwig8,चलबाँक,2,0
49,cwig8,चुनाँचे,3,1
50,cwig8,चुनांचे,1,3
51,cwig8,छावनी,1,0
52,cwig8,ज़न,1,1
53,cwig8,जोषिता,2,0
54,cwig8,टप्पा,1,0
55,cwig8,टिकान,1,0
56,cwig8,टेक्नालजी,0,4
57,cwig8,टेक्नालॉजी,0,4
58,cwig8,टेक्नॉलजी,0,4
59,cwig8,टेक्नॉलॉजी,0,4
60,cwig8,टेक्नॉलोजी,0,4
61,cwig8,ठठरी,2,1
62,cwig8,ठठेर,3,0
63,cwig8,ठाटर,3,0
64,cwig8,ठाठ,2,1
65,cwig8,ठाठर,2,1
66,cwig8,ठिठुरना,3,2
67,cwig8,ठिठुरे,3,2
68,cwig8,डब्बा,0,5
69,cwig8,डायमीटर,0,4
70,cwig8,डिब्बा,1,4
71,cwig8,डेरा,0,1
72,cwig8,डौर,1,2
73,cwig8,डौल,1,2
74,cwig8,ढलना,0,3
75,cwig8,ढाँचा,1,2
76,cwig8,ढांचा,1,2
77,cwig8,तनु,2,0
78,cwig8,तबक़,1,1
79,cwig8,तबके,1,1
80,cwig8,तह,0,2
81,cwig8,तिय,2,0
82,cwig8,तिरिया,2,0
83,cwig8,तीव,2,0
84,cwig8,तीव्रगामी,1,1
85,cwig8,तेज,0,2
86,cwig8,तेज़,0,2
87,cwig8,त्रिया,2,0
88,cwig8,थर,1,1
89,cwig8,ददोड़ा,1,1
90,cwig8,ददोरा,1,1
91,cwig8,दोना,1,4
92,cwig8,दौना,1,4
93,cwig8,द्रुतगति,1,1
94,cwig8,द्रुतगामी,1,1
95,cwig8,द्रोण,2,3
96,cwig8,नार,1,1
97,cwig8,नारी,0,2
98,cwig8,निकालना,0,1
99,cwig8,निःशुल्क,3,0
100,cwig8,निश्शुल्क,3,0
101,cwig8,निष्काशन,1,0
102,cwig8,निष्कासन,1,0
103,cwig8,निहित,2,2
104,cwig8,पंजर,2,1
105,cwig8,पञ्जर,3,0
106,cwig8,पटल,1,1
107,cwig8,पत्रपुट,3,2
108,cwig8,परत,0,2
109,cwig8,पात्र,0,5
110,cwig8,पाराशर,2,2
111,cwig8,पिंजर,0,3
112,cwig8,पिञ्जर,1,2
113,cwig8,पुर,1,1
114,cwig8,प्रौद्योगिकी,2,2
115,cwig8,फास्ट,0,2
116,cwig8,बादरायण,2,2
117,cwig8,बैयर,2,0
118,cwig8,ब्यास,2,2
119,cwig8,भाम,2,0
120,cwig8,भामा,2,0
121,cwig8,भामिनी,2,0
122,cwig8,भुवन,1,1
123,cwig8,मरना,0,3
124,cwig8,महिला,0,2
125,cwig8,मानववादी,0,1
126,cwig8,मानवी,1,1
127,cwig8,मानुषी,1,1
128,cwig8,मुफ्त,0,3
129,cwig8,मुफ़्त,1,2
130,cwig8,मेहना,2,0
131,cwig8,यूनिट,0,2
132,cwig8,योषिता,2,0
133,cwig8,रंगना,0,3
134,cwig8,रीझना,2,1
135,cwig8,रीझने,2,1
136,cwig8,लिहाजा,0,4
137,cwig8,लिहाज़ा,0,4
138,cwig8,लुगाई,0,2
139,cwig8,लुढ़कना,1,2
140,cwig8,लोक,1,1
141,cwig8,लोगाई,0,2
142,cwig8,वनिता,0,2
143,cwig8,वरक,1,1
144,cwig8,वरक़,1,1
145,cwig8,वर्क,1,1
146,cwig8,वर्क़,1,1
147,cwig8,वादरायण,3,1
148,cwig8,वामा,1,1
149,cwig8,वासवेय,3,1
150,cwig8,वासिता,2,0
151,cwig8,वासुरा,2,0
152,cwig8,विक्षेप,1,0
153,cwig8,विपाशा,2,2
154,cwig8,वेदव्यास,0,4
155,cwig8,व्यास,1,3
156,cwig8,शफरुक,5,0
157,cwig8,शिविर,1,0
158,cwig8,शीघ्रगामी,0,2
159,cwig8,संपुट,2,3
160,cwig8,सम्पुट,3,2
161,cwig8,सुनंदा,2,0
162,cwig8,सुनन्दा,2,0
163,cwig8,स्तर,0,2
164,cwig8,स्त्री,0,2
165,cwig8,हटाव,1,0
166,cwig8,अनुसूची,1,1
167,cwig8,आसुग,2,0
168,cwig8,ईकाई,2,0
169,cwig8,कङ्काल,2,1
170,cwig8,गर्भित,1,3
171,cwig8,टेक्नोलोजी,0,4
172,cwig8,ठिठरना,3,2
173,cwig8,तबक,1,1
174,cwig8,निर्वासन,0,1
175,cwig8,निशुल्क,2,1
176,cwig8,पड़ाव,0,1
177,cwig8,पुटी,2,3
178,cwig8,मानवतावादी,1,0
179,cwig8,रमणी,1,1
180,cwig8,सात्यवत,3,1
181,cwig8,अकड़,0,1
182,cwig8,अग,0,4
183,cwig8,अंगज,0,1
184,cwig8,अगम,0,2
185,cwig8,अगम्य,0,2
186,cwig8,अग्रज,0,1
187,cwig8,अग्रजन्मा,0,1
188,cwig8,अघम,0,1
189,cwig8,अघ्रिप,2,2
190,cwig8,अचुरा,0,2
191,cwig8,अज्ञेय,1,1
192,cwig8,अटल,0,1
193,cwig8,अटलनीय,1,0
194,cwig8,अटित,2,0
195,cwig8,अंतःकरण,0,2
196,cwig8,अंतर,0,2
197,cwig8,अंतस्,2,0
198,cwig8,अतिकाय,0,1
199,cwig8,अतिकाल,0,2
200,cwig8,अतिरिक्त,1,0
201,cwig8,अतिवेला,1,1
202,cwig8,अदा,0,2
203,cwig8,अंदाज,0,2
204,cwig8,अंदाज़,0,2
205,cwig8,अदृढ़,1,1
206,cwig8,अधपका,0,2
207,cwig8,अधबुध,2,0
208,cwig8,अधिगम,0,1
209,cwig8,अनतपा,1,1
210,cwig8,अनंतर,0,1
211,cwig8,अनंतरित,0,1
212,cwig8,अनति,0,1
213,cwig8,अनन्तर,0,1
214,cwig8,अनन्तरित,1,0
215,cwig8,अनपका,0,2
216,cwig8,अनभिज्ञ,1,1
217,cwig8,अनभ्यस्त,2,0
218,cwig8,अनवरत,0,1
219,cwig8,अनसीझा,0,2
220,cwig8,अनिवार्य,0,1
221,cwig8,अनुनीति,0,1
222,cwig8,अनुभवरहित,0,2
223,cwig8,अनुभवहीन,0,2
224,cwig8,अनोकह,3,1
225,cwig8,अन्तःकरण,0,2
226,cwig8,अन्तर,0,2
227,cwig8,अन्तस्,2,0
228,cwig8,अपकर्ष,1,0
229,cwig8,अपकर्षण,1,0
230,cwig8,अपक्व,1,1
231,cwig8,अपदस्थ,1,2
232,cwig8,अपभ्रंश,1,0
233,cwig8,अपयश,1,0
234,cwig8,अपरिणत,0,2
235,cwig8,अपरिपक्व,1,1
236,cwig8,अपवाद,0,1
237,cwig8,अपह्रास,1,0
238,cwig8,अबाध्य,0,1
239,cwig8,अबार,1,1
240,cwig8,अबेर,0,2
241,cwig8,अभरम,0,1
242,cwig8,अभागा,0,2
243,cwig8,अभागे,0,2
244,cwig8,अभिज्ञता,1,0
245,cwig8,अभिमति,1,1
246,cwig8,अभिमान,0,1
247,cwig8,अमंद,0,4
248,cwig8,अमन्द,2,2
249,cwig8,अमरूत,1,0
250,cwig8,अमरूद,1,0
251,cwig8,अमिट,0,1
252,cwig8,अमुक्ति,0,1
253,cwig8,अमेय,1,1
254,cwig8,अमेव,1,1
255,cwig8,अयानत,0,1
256,cwig8,अरोगिता,1,0
257,cwig8,अरोग्यता,0,1
258,cwig8,अर्क,0,4
259,cwig8,अर्घपतन,1,0
260,cwig8,अर्धशिक्षित,2,0
261,cwig8,अलबत्ता,0,1
262,cwig8,अलसेट,2,0
263,cwig8,अलाभ,0,1
264,cwig8,अलावा,0,1
265,cwig8,अलि,0,1
266,cwig8,अलेख,1,1
267,cwig8,अलेखा,1,1
268,cwig8,अलोक,0,1
269,cwig8,अल्हड़,1,1
270,cwig8,अवच्छेदन,1,0
271,cwig8,अवधारित,0,1
272,cwig8,अवधृत,0,1
273,cwig8,अवनति,0,1
274,cwig8,अवपतन,0,1
275,cwig8,अवपात,0,1
276,cwig8,अवभासिनी,2,0
277,cwig8,अवरोह,0,1
278,cwig8,अवलेप,0,1
279,cwig8,अवलेपन,0,1
280,cwig8,अवश्य,0,1
281,cwig8,अवश्यंभावी,1,0
282,cwig8,अवश्यमेव,0,1
283,cwig8,अवश्यम्भावी,1,0
284,cwig8,अवश्याय,1,0
285,cwig8,अवष्टंभ,1,0
286,cwig8,अवष्टम्भ,1,0
287,cwig8,अवसि,0,1
288,cwig8,अवसित,0,1
289,cwig8,अवसेर,1,1
290,cwig8,अवस्तु,0,1
291,cwig8,अवाय,0,1
292,cwig8,अवार,0,1
293,cwig8,अवारण,0,1
294,cwig8,अवारणीय,0,1
295,cwig8,अवारी,0,1
296,cwig8,अवार्य,0,1
297,cwig8,अविकल्प,0,1
298,cwig8,अविच्छिन्न,1,0
299,cwig8,अवितर्किक,1,0
300,cwig8,अविदग्ध,1,1
301,cwig8,अविरत,0,1
302,cwig8,अविश्रांत,1,0
303,cwig8,अविश्रान्त,1,0
304,cwig8,अवेद्य,0,2
305,cwig8,अवेर,0,2
306,cwig8,अव्यस्त,1,0
307,cwig8,अव्याघात,1,0
308,cwig8,अव्यापार,0,1
309,cwig8,अव्युत्पन्न,2,0
310,cwig8,अशृत,1,1
311,cwig8,अश्रांत,1,0
312,cwig8,असंदेह,0,1
313,cwig8,असन्देह,0,1
314,cwig8,असंशय,0,1
315,cwig8,असु,0,2
316,cwig8,अस्पताल,1,0
317,cwig8,अस्वातंत्र्य,1,0
318,cwig8,अस्वातन्त्र्य,1,0
319,cwig8,अहं,0,1
320,cwig8,अहंकार,0,1
321,cwig8,अहंकृति,1,0
322,cwig8,अहङ्कार,1,0
323,cwig8,अहङ्कृति,1,0
324,cwig8,अहंता,0,1
325,cwig8,अहमिति,0,1
326,cwig8,अहमेव,0,1
327,cwig8,अहम्मति,1,0
328,cwig8,आईन,0,1
329,cwig8,आगाही,0,1
330,cwig8,आजिजी,1,0
331,cwig8,आजिज़ी,1,0
332,cwig8,आटोप,0,1
333,cwig8,आत्मज,0,1
334,cwig8,आत्मजात,1,0
